s 是
sefc 艄
sefd 失而复得
seg 舢
segr 艄公
segx 舢
seh, 所好
sehf 所含
sehy 死而后已
sei 艏
seik 艏
sejg 所见
sejp 所讲
sejt 所及
sekg 所困
seli 所料
selk 所列
sely 所立
semy 所没有
sen. 所能
sepw 所迫
seqj 所求
seqq 所缺
sesf 所伤
sesh 所示
sesj 所述
sesj 所涉及
sesn 所属
sesp 所说
sesr 所受
sess 所是
setg 所提供
sew 艘
sew; 艘
sewi 所为
sewp 所谓
sewu 所闻
sewy 塞尔维亚
sex; 所辖
sexl 所需
sexm 所限
sexo 所学
sexp 所写
sexq 所选
sexv 所幸
sexw 所向
sexx 所想
sey. 所以
seyf 所余
seyj 所要
seyk 所有
seyn 生儿育女
seyq 所有权
seyr 所有人
seys 所以说
seyt 所用
seyy 所言
seyz 所有制
sez; 所致
seza 所占
sezc 所造成
sezd 所在地
sezf 所做
sezk 所在
sezq 所长
sezu 所指
sf 使
sf. 似
sf.f 似
sf.m 舒
sf.q 俟
sfba 伤悲
sfbd 舍不得
sfbj 尚方宝剑
sfbk 尚不
sfbm 司法部门
sfbp 食补
sfbs 伤风败俗
sfbw 伞兵
sfbw 伤兵
sfby 伤疤
sfby 伤病
sfby 伤病员
sfbz 收费标准
sfcf 侍从
sfcg 舒畅
sfcg 赏赐
sfci 似曾
sfcj 食醋
sfck 伤残
sfck 尚存
sfcm 使出
sfcm 伸出
sfcm 售出
sfcq 伸长
sfcq 俗称
sfct 伤处
sfd 倏
sfd. 倏
sfd; 伸到
sfde 使得
sfde 舍得
sfdh 煽风点火
sfdi 食道
sfds 俞
sfdu 舍掉
sfdv 倏地
sfdw 似的
sfdx 师范大学
sffd 舒服
sffg 赏罚
sffh 侍奉
sffm 赏罚分明
sffm 是非分明
sffp 售房
sfft 伤风
sffz 十分复杂
sfg 尚
sfg/ 赏给
sfge 傻瓜
sfgf 赏
sfgh 伸
sfgj 畲
sfgk 伤感
sfgl 尚
sfgq 食管
sfgt 使馆
sfgx 十分关心
sfgz 十分关注
sfh 舍
sfh/ 舒缓
sfhb 赏花
sfhc 售汇
sfhd 佘
sfhe 售后
sfhf 售货
sfhh 傻乎乎
sfhl 使唤
